漢字,仮名
肛門,こうもん
肝臓,かんぞう
肢,し
肩,かた
肩峰,けんぽう
肩峰突起,けんぽうとっき
肩帯,けんたい
肺,はい
肺葉,はいよう
胃,い
ストマック,すとまっく
マーゲン,まーげん
胃袋,いぶくろ
腺胃,せんい
胃液,いえき
胆嚢,たんのう
胆のう,たんのう
胆,たん
胆汁,たんじゅう
胆液,たんえき
胆管,たんかん
三管合流部,さんかんごうりゅうぶ
胆道,たんどう
背中,せなか
背部,はいぶ
背面,はいめん
背,せ
背側,はいそく
胎便,たいべん
胎盤,たいばん
胞衣,えな
プラセンタ,ぷらせんた
後産,あとざん
胎脂,たいし
胚,はい
胚葉,はいよう
胞胚,ほうはい
胞胚形成,ほうはいけいせい
胴体,どうたい
胴,どう
体幹,たいかん
胸椎,きょうつい
胸水,きょうすい
胸管,きょうかん
胸腔,きょうくう
胸腺,きょうせん
胸膜,きょうまく
胸部,きょうぶ
胸,むね
胸郭,きょうかく
胸骨,きょうこつ
腹板,ふくばん
胸髄,きょうずい
脂瞼,しけん
脊椎,せきつい
堆骨,たいこつ
背骨,せぼね
脊柱,せきちゅう
脊索,せきさく
脊髄,せきずい
脚,あし
下肢,かし
大腿,だいたい
向こう脛,むこうずね
大腿部,だいたいぶ
後肢,こうし
脳,のう
脳回,のうかい
大脳回,だいのうかい
脳幹,のうかん
脳弓,のうきゅう
脳梁,のうりょう
脳溝,のうこう
脳葉,のうよう
大脳葉,だいのうよう
脾柱,ひちゅう
脾索,ひさく
脾臓,ひぞう
脾門,ひもん
腎杯,じんぱい
腎柱,じんちゅう
腎盂,じんう
腎う,じんう
腎盤,じんばん
腎臓,じんぞう
腎,じん
腕,うで
腕骨,わんこつ
腕の骨,うでのほね
腰椎,ようつい
腰部,ようぶ
スモール,すもーる
腰髄,ようずい
腱,けん
腱鞘,けんしょう
腸,ちょう
腸骨,ちょうこつ
腹,はら
アブダマン,あぶだまん
アブドメン,あぶどめん
腹部,ふくぶ
腹壁,ふくへき
腹腔,ふくくう
腹膜,ふくまく
腺,せん
分泌腺,ぶんぴつせん
膀胱,ぼうこう
膀胱尖,ぼうこうせん
膝,ひざ
膕,ひかがみ
ひかがみ,ひかがみ
ヒザ,ひざ
引屈,ひっくつ
膝小僧,ひざこぞう
膝窩,しつか
膝部,しつぶ
膝頭,ひざがしら
膣,ちつ
膣口,ちつこう
巨陰,きょいん
腟口,ちつこう
膵体,すいたい
膵尾,すいび
膵液,すいえき
膵管,すいかん
膵臓,すいぞう
膵頭,すいとう
膿,うみ
臀裂,でんれつ
臀間裂,でんかんれつ
臍帯,さいたい
へそのお,へそのお
臍の緒,へそのお
𦜝帯,へそのお
へその緒,へそのお
臭腺,しゅうせん
舌,した
舌腺,ぜつせん
舌骨,ぜっこつ
菱脳,りょうのう
後脳,こうのう
菱脳胞,りょうのうほう
蓋膜,がいまく
薄束,はくそく
薄筋,はくきん
薬指,くすりゆび
お姉さん指,おねえさんゆび
名無し指,ななしゆび
無名指,むめいし
環指,かんし
紅差し指,べにさしゆび
虫垂,ちゅうすい
虹彩,こうさい
蝸牛,かぎゅう
血栓,けっせん
血液,けつえき
血清,けっせい
血漿,けっしょう
血しょう,けっしょう
血管,けっかん
表皮,ひょうひ
被殻,ひかく
複眼,ふくがん
視床,ししょう
背側視床,はいそくししょう
視索,しさく
親指,おやゆび
お父さん指,おとうさんゆび
拇指,ぼし
母指,ぼし
角,つの
ツノ,つの
鼻角,びかく
角回,かくかい
前月状回,ぜんげつじょうかい
角状回,かくじょうかい
角膜,かくまく
触角,しょっかく
赤核,せきかく
足,あし
趾,し
つま先,つまさき
爪先,つまさき
足指,あしゆび
足趾,そくし
距,きょ
中手距,ちゅうしゅきょ
踝,くるぶし
踵骨,しょうこつ
軟膜,なんまく
軸椎,じくつい
第2頚椎,だいにけいつい
第2頸椎,だいにけいつい
鋤骨,じょこつ
鐙骨,あぶみこつ
あぶみ骨,あぶみこつ
アブミ骨,あぶみこつ
門脈,もんみゃく
間脳,かんのう
陰唇,いんしん
陰嚢,いんのう
陰囊,いんのう
陰核,いんかく
クリトリス,くりとりす
陰門,いんもん
隅角,ぐうかく
虹彩角膜角,こうさいかくまくかく
隆椎,りゅうつい
第7頚椎,だいななけいつい
第7頸椎,だいななけいつい
静脈,じょうみゃく
靭帯,じんたい
じん帯,じんたい
靭帯系,じんたいけい
靱帯,じんたい
靱帯系,じんたいけい
リガメント,りがめんと
T管,てぃーかん
項線,こうせん
頬,ほお
ほおべた,ほおべた
ほっぺ,ほっぺ
ほっぺた,ほっぺた
ほほ,ほほ
頬っ辺,ほおっぺん
頬辺,ほおへん
頰,ほお
頰っ辺,ほおっぺん
頰辺,ほおへん
頬筋,きょうきん
頬腺,きょうせん
頬袋,ほおぶくろ
頬骨,きょうこつ
頭,あたま
かしら,かしら
頭部,とうぶ
頭皮,とうひ
頭節,とうせつ
頭蓋,ずがい
頭蓋骨,ずがいこつ
頭頂,とうちょう
頸椎,けいつい
頚椎,けいつい
頸骨,けいこつ
頸髄,けいずい
頚髄,けいずい
顔,かお
顏,かお
容貌,ようぼう
表,おもて
面,つら
顔面,がんめん
面差し,おもざし
面体,めんてい
類洞,るいどう
飛膜,ひまく
食道,しょくどう
首,くび
頚,くび
頸,くび
頚部,けいぶ
頸部,けいぶ
馬尾,ばび
骨,こつ
骨幹,こっかん
骨体,こったい
骨幹部,こっかんぶ
骨格,こっかく
骨格系,こっかくけい
骨梁,こつりょう
トラベキュラ,とらべきゅら
骨盤,こつばん
骨端,こったん
骨膜,こつまく
骨髄,こつずい
髄膜,ずいまく
髭,ひげ
顎髭,あごひげ
顎鬚,あごひげ
ひげ,ひげ
髯,ひげ
鬚,ひげ
あごひげ,あごひげ
ヒゲ,ひげ
ほおひげ,ほおひげ
無精髭,ぶしょうひげ
頬髭,ほおひげ
頬髯,ほおひげ
鰓篩,さいし
鰓耙,さいは
鰾,うきぶくろ
鳥距,ちょうきょ
鵞足,がそく
鶏冠,とさか
黄体,おうたい
黄斑,おうはん
黄斑部,おうはんぶ
黒質,こくしつ
鼓室,こしつ
鼓膜,こまく
鼻,はな
鼻孔,びこう
鼻の穴,はなのあな
鼻尖,びせん
鼻筋,はなすじ
鼻翼,びよく
鼻腔,びくう
鼻道,びどう
