漢字,仮名
酒屋,さかや
王座,おうざ
秋葉,あきば
酒税,しゅぜい
夕雲,せきうん
平遠,たいらえん
死神,しにがみ
開票,かいひょう
外側,そとがわ
鏡像,きょうぞう
星出,ほしで
直子,なおこ
戦列,せんれつ
連句,れんく
高輪,たかなわ
外出,がいしゅつ
積雪,せきせつ
賞賛,しょうさん
愛人,あいじん
片理,へんり
国章,くにあき
洗礼,せんれい
角骨,かくほね
王績,おうせき
接続,せつぞく
仏師,ぶっし
郡区,ぐんく
親日,しんにち
黒人,こくじん
会衆,かいしゅう
根体,ねからだ
増鏡,ますかがみ
辞任,じにん
定食,ていしょく
田源,たげん
兵補,へいほ
結果,けっか
列強,れっきょう
公平,こうへい
貴船,きふね
農耕,のうこう
空気,くうき
冷血,れいけつ
秘密,ひみつ
追放,ついほう
組物,くみもの
次席,じせき
皮骨,かわほね
入院,にゅういん
酸菜,さんさい
共公,ともこう
安居,あんきょ
学歴,がくれき
風子,ふうこ
雲形,くもがた
合気,あいき
体位,たいい
実験,じっけん
張力,ちょうりょく
認知,にんち
林道,りんどう
放流,ほうりゅう
舎利,しゃり
新劇,しんげき
β鉄,βてつ
北岸,ほくがん
衛所,えいしょ
水月,すいげつ
徳利,とっくり
植樹,しょくじゅ
目黒,めぐろ
王子,おうじ
和様,わよう
横落,よこらく
放電,ほうでん
承和,しょうわ
大原,おおはら
天使,てんし
創造,そうぞう
季友,きとも
長治,ちょうじ
付格,つきかく
自作,じさく
八角,はっかく
花火,はなび
満潮,まんちょう
孫夏,まごなつ
馬貴,うまたかし
無常,むじょう
非在,ひざい
食草,しょくそう
提案,ていあん
安多,あんた
簡公,かんこう
神族,しんぞく
軍政,ぐんせい
父親,ちちおや
公職,こうしょく
池田,いけだ
漢語,かんご
失血,しっけつ
横顔,よこがお
馬林,うまはやし
少典,しょうてん
血流,けつりゅう
戦線,せんせん
子日,こにち
名取,なとり
春風,はるかぜ
大公,たいこう
雑貨,ざっか
静海,せいうみ
数列,すうれつ
天城,あまぎ
署名,しょめい
大隊,だいたい
気流,きりゅう
赤星,あかぼし
赤夜,あかよる
青島,あおしま
青空,あおぞら
灰者,はいもの
化身,けしん
東村,ひがしむら
東村,ひがしむら
裏庭,うらにわ
七宝,しっぽう
紅型,びんがた
神楽,かぐら
圧痛,あっつう
血島,ちしま
外構,がいこう
貴石,きせき
分家,ぶんけ
帰路,きろ
社史,しゃし
大京,だいきょう
風雲,ふううん
司祭,しさい
区別,くべつ
豆弁,まめべん
酒場,さかば
近世,きんせい
昭公,しょうこう
町丁,まちちょう
小字,こあざ
光徳,みつのり
似島,じしま
城代,しろだい
朝会,ちょうかい
羽入,はにゅう
孫観,まごかん
保定,ほてい
建徳,けんとく
鉄平,てっぺい
皇建,こうけん
正史,せいし
大業,おおわざ
大衆,たいしゅう
天正,てんしょう
開国,かいこく
太初,たいしょ
大明,だいめい
建明,けんめい
建初,たてぞめ
太上,だいじょう
十通,じゅっつう
建平,けんたいら
承和,しょうわ
太安,たやす
拝年,はいねん
体用,たいゆう
清里,きよさと
祖国,そこく
野火,のび
流速,りゅうそく
屋台,やたい
死力,しりょく
成型,せいけい
四配,しはい
野味,のあじ
深田,ふかだ
風太,ふうた
続編,ぞくへん
登板,とうばん
受賞,じゅしょう
地理,ちり
銀河,ぎんが
道草,みちくさ
緑砂,みどりすな
右辺,うへん
春野,はるの
林原,はやしばら
黒水,こくすい
警告,けいこく
氷川,ひかわ
平手,ひらて
車格,しゃかく
本焼,ほんやき
水洗,すいせん
有人,ゆうじん
X荷,Xか
武蔵,むさし
痛絶,つうぜつ
縮約,しゅくやく
序劇,じょげき
島帯,しまおび
室内,しつない
野風,のかぜ
羽風,はかぜ
丸印,まるじるし
馬武,ばぶ
興治,おきはる
朝雲,あさぐも
島風,しまかぜ
簡芸,かんげい
世本,よほん
境川,さかいがわ
河野,こうの
警告,けいこく
学名,がくめい
板紙,いたがみ
古都,こと
倉持,くらもち
曲輪,くるわ
流束,りゅうそく
書法,しょほう
世界,せかい
念書,ねんしょ
男性,だんせい
死亡,しぼう
工部,こうぶ
構造,こうぞう
松風,まつかぜ
薬湯,やくゆ
混浴,こんよく
宮下,みやした
宮里,みやざと
元町,もとまち
別山,べつやま
鳴戸,なると
庭石,にわいし
夜店,よみせ
新山,しんざん
人間,にんげん
大平,おおひら
和分,わふん
過密,かみつ
開眼,かいがん
八郷,やさと
前層,まえそう
再生,さいせい
R点,Rてん
周期,しゅうき
桜駅,さくらえき
桜坂,さくらざか
許由,きょゆう
行政,ぎょうせい
半径,はんけい
書堂,しょどう
女英,おんなえい
石宝,せきほう
下村,しもむら
新町,しんまち
白子,しらこ
相馬,そうま
種名,しゅめい
寸鉄,すんてつ
接角,せつかく
白組,しろぐみ
内港,ないこう
細雪,ささめゆき
天主,てんしゅ
色度,しきど
土地,とち
金耳,きんみみ
電界,でんかい
復活,ふっかつ
左権,ひだりけん
村区,むらく
悪人,あくにん
王軍,おうぐん
白人,はくじん
巻物,まきもの
建義,けんぎ
光初,ひかりはつ
建元,けんげん
太安,たやす
元興,がんごう
永平,えいへい
漢安,かんあん
本初,ほんしょ
絵島,えしま
丁銀,ちょうぎん
道央,どうおう
無線,むせん
新北,にきた
天河,てんが
往生,おうじょう
地区,ちく
令谷,れいたに
姿勢,しせい
黄覚,きかく
木々,きぎ
春風,はるかぜ
来島,らいしま
夏潮,なつしお
連隊,れんたい
自閉,じへい
貨車,かしゃ
愛子,あいこ
仁州,ひとししゅう
余像,よぞう
定公,ていこう
厳参,げんさん
四生,ししょう
北朝,ほくちょう
幸町,さいわいちょう
建和,けんわ
洋州,ひろししゅう
漁場,ぎょじょう
王則,おうのり
王章,おうしょう
王規,おうき
英州,えいしゅう
費仲,ひなか
県主,あがたぬし
再生,さいせい
学名,がくめい
言語,げんご
初夜,しょや
同人,どうじん
成祖,せいそ
安南,あんなん
改易,かいえき
客土,きゃくど
中野,なかの
一発,いっぱつ
三山,みやま
三省,さんせい
東宮,とうぐう
厳修,げんしゅう
焼山,たきやま
臨安,りんあん
都内,とない
仁徳,にんとく
会同,かいどう
市民,しみん
保天,ほてん
借字,しゃくじ
元和,げんな
元祖,がんそ
光照,みつてる
二人,ふたり
公明,こうめい
断水,だんすい
前旗,ぜんき
北門,きたもん
平公,へいこう
武公,ぶこう
簡公,かんこう
右将,みぎしょう
葉挙,はきょ
合水,ごうみず
告白,こくはく
善根,ぜんこん
厳仁,げんひとし
国大,こくだい
大南,おおみなみ
大師,たいし
大有,だいゆう
大林,おおばやし
大河,たいが
大竹,おおたけ
大金,たいきん
天主,てんしゅ
天会,てんかい
天命,てんめい
天応,てんおう
天授,てんじゅ
天皇,てんのう
天縦,てんたて
天統,てんとう
天造,てんぞう
章表,しょうおもて
女優,じょゆう
初歴,はつれき
童顔,どうがん
子幸,こさち
孫書,まごかき
安西,あんざい
福興,ふっこう
順徳,じゅんとく
変数,へんすう
察挙,さつきょ
尊経,みことけい
山将,やましょう
山簡,やまかん
王進,おうしん
版画,はんが
応天,おうてん
康公,やすしこう
康徳,やすのり
建世,けんよ
建木,けんき
強風,きょうふう
徳元,とくもと
徳興,とくきょう
徳州,とくしゅう
承平,しょうへい
元育,もといく
収国,しゅうこく
会要,かいよう
教案,きょうあん
文庫,ぶんこ
新序,しんじょ
方天,ほうてん
日光,にっこう
日清,にっしん
明和,めいわ
明政,めいせい
晩秋,ばんしゅう
景盛,かげもり
景福,けいふく
東郡,とうぐん
枚乗,まいじょう
楽正,らくしょう
正大,まさひろ
正定,せいてい
武平,たけひら
武林,たけばやし
武芸,ぶげい
仏画,ぶつが
永天,えいてん
永春,えいはる
永順,えいじゅん
法王,ほうおう
海安,うみあん
海録,うみろく
差分,さぶん
黄門,こうもん
B級,Bきゅう
C電,Cでん
E電,Eでん
F型,Fかた
G型,Gかた
H型,Hかた
設計,せっけい
N村,Nむら
文公,ぶんこう
S値,Sあたい
Z会,Zかい
約束,やくそく
読売,よみうり
州都,しゅうと
天弓,てんゆみ
打令,だれい
休学,きゅうがく
順天,じゅんてん
一人,ひとり
一宮,いちのみや
一平,いっぺい
一忠,いっちゅう
一真,いっしん
一輪,いちりん
一門,いちもん
万町,まんまち
万町,まんまち
万祝,まんしゅく
三八,さんぱち
三和,さんわ
三園,みその
三好,みよし
三府,さんふ
三悪,さんあく
三戸,さんのへ
三次,さんじ
三色,さんしょく
三道,さんどう
三里,さんり
上衣,うわぎ
上谷,うえたに
上道,じょうとう
上馬,かみうま
下流,かりゅう
下界,げかい
下長,したちょう
両国,りょうごく
中富,なかとみ
中村,なかむら
中村,なかむら
中村,なかむら
中気,ちゅうき
中牧,なかまき
中町,なかまち
中食,ちゅうしょく
丸大,まるだい
丸政,まるまつりごと
丸正,まるしょう
丸池,まるいけ
丸美,まるみ
主幹,しゅかん
主税,ちから
久助,きゅうすけ
九国,きゅうくに
九星,きゅうせい
争議,そうぎ
五代,ごだい
五名,ごめい
五橋,いつつばし
五歩,ごほ
五部,ごぶ
交分,こうふん
京師,けいし
京職,きょうしき
京葉,けいよう
仁万,ひとしまん
仁愛,じんあい
今戸,いまど
今村,いまむら
今池,いまいけ
今谷,いまたに
仕置,しおき
任果,にんか
休場,きゅうじょう
会所,かいしょ
信春,のぶはる
修身,しゅうしん
俳号,はいごう
倉商,くらしょう
個告,ここく
倍速,ばいそく
借力,しゃくちから
備北,びほく
元城,もとしろ
元郷,もとごう
光町,ひかりちょう
入道,にゅうどう
全一,ぜんいつ
八西,はちにし
八要,はちよう
六島,ろくしま
六島,ろくしま
共立,きょうりつ
典座,てんぞ
内P,ないP
内位,ないくらい
内力,ないりょく
内川,うちかわ
内法,うちのり
内簡,ないかん
内菜,ないな
内蔵,ないぞう
円興,えんきょう
冬川,ふゆかわ
出場,しゅつじょう
出女,でおんな
出島,でじま
出川,でがわ
出挙,すいこ
出発,しゅっぱつ
出納,すいとう
判決,はんけつ
利器,りき
利水,りすい
前女,まえおんな
前検,まえけん
加判,かはん
労農,ろうのう
勝原,かつはら
勝子,かつこ
北信,ほくしん
北勢,きたせい
北口,きたぐち
北町,きたまち
北総,ほくそう
北郡,きたぐん
区分,くぶん
医道,いどう
十鉄,じゅうてつ
千屋,せんや
千年,せんねん
千年,せんねん
千春,ちはる
半済,はんぜい
卒業,そつぎょう
南台,みなみだい
南和,みなみわ
南平,みなみたいら
南村,みなみむら
南町,みなみまち
単立,たんりつ
単葉,たんよう
印税,いんぜい
原山,はらやま
原木,げんぼく
原泉,げんせん
原町,はらまち
原穴,げんけつ
原良,はらよし
取上,しゅうえ
取付,とりつけ
取手,とりで
口金,くちがね
古作,こさく
古市,ふるいち
古希,こき
古注,こちゅう
台子,だいす
合筆,がっぴつ
合通,ごうとおり
同友,どうゆう
名倉,なぐら
名護,なご
向原,むかいはら
向山,むかいやま
向新,こうしん
告発,こくはつ
呼子,よぶこ
和信,かずのぶ
和幸,かずゆき
和習,わしゅう
和風,わふう
代王,だいおう
善増,ぜんぞう
器局,うつわきょく
四分,よんぶん
四点,してん
団員,だんいん
囲塩,いしお
国主,こくしゅ
国例,くにれい
国印,くにいん
国定,こくてい
国東,くにさき
国税,こくぜい
土宮,つちみや
土川,つちかわ
土門,どもん
地格,じかく
地車,だんじり
地雨,じあめ
坂下,さかした
城城,しろしろ
基底,きてい
塩気,しおけ
境村,さかいむら
声公,こえこう
夏月,かずき
夏服,なつふく
夏緑,かりょく
夜会,やかい
夜光,やこう
大仁,おおひと
大倉,おおくら
大劇,だいげき
大南,おおみなみ
大宮,おおみや
大宮,おおみや
大島,おおしま
大島,おおしま
大成,たいせい
大朝,おおあさ
大東,だいとう
大歌,おおうた
大水,おおみず
大泉,おおいずみ
大漁,たいりょう
大石,おおいし
大祭,たいさい
大穴,おおあな
大義,たいぎ
大鉄,だいてつ
天和,てんほう
天戦,てんせん
天目,てんもく
天風,てんぷう
太公,たいこう
太子,たいし
太物,ふともの
失念,しつねん
女中,じょちゅう
女医,じょい
女岩,おんないわ
女里,おんなさと
妹川,いもうとかわ
姉弟,きょうだい
始建,しけん
姿川,すがたかわ
孝治,こうじ
学大,がくだい
学科,がっか
宇宿,うすき
安太,あんた
宗広,むねひろ
官務,かんむ
定員,ていいん
定田,ていた
宝町,たからまち
宝町,たからまち
実尊,みみこと
宣和,せんな
室戸,むろと
宮増,みやぞう
家中,いえじゅう
家伝,かでん
家司,けし
家路,いえじ
家鳴,いえめい
宿老,しゅくろう
密命,みつめい
寒酒,かんさけ
寺内,てらうち
寺川,てらかわ
寺格,じかく
対策,たいさく
対面,たいめん
小丸,こまる
小信,しょうしん
小口,こぐち
小国,しょうこく
小夏,こなつ
小島,こじま
小野,おの
小野,おの
山下,やました
山大,やまだい
山線,やません
山葉,やまは
山論,やまろん
山鼻,やまはな
島前,しままえ
川並,かわなみ
川畑,かわばた
左術,ひだりじゅつ
市村,いちむら
市駅,しえき
希望,きぼう
帰天,きてん
常務,じょうむ
幕張,まくはり
幕板,まくいた
幕臣,ばくしん
平福,ひらふく
平野,へいや
